Термин,Определение
Кластерный индекс,"Индекс, который определяет физический порядок строк в таблице."
Некластерный индекс,"Индекс, который не изменяет физический порядок строк в таблице."
База данных,"Организованное хранилище данных, предназначенное для удобного управления и обработки."
Реляционная база данных,"Тип базы данных, где данные организованы в таблицы с отношениями между ними."
NoSQL,"Тип баз данных, не использующих реляционную модель, ориентированный на масштабируемость и производительность."
Key-Value Store,"Тип NoSQL базы данных, где данные хранятся в виде пар ключ-значение."
Документо-ориентированная база данных,"Тип NoSQL базы данных, хранящей данные в виде документов (например, JSON, BSON)."
Графовая база данных,"Тип базы данных, предназначенный для работы с графовыми структурами данных."
OLAP,"Онлайн-аналитическая обработка, предназначенная для многомерного анализа данных."
OLTP,"Онлайн-обработка транзакций, оптимизированная для быстрого выполнения множества транзакций."
JSONB,Формат хранения JSON-документов в PostgreSQL с возможностью индексирования.
XML,"Формат структурированных данных, который может использоваться в базах данных."
UUID,"Уникальный универсальный идентификатор, часто используемый в качестве первичного ключа."
BLOB,"Двоичный крупный объект, используемый для хранения мультимедийных файлов в базе данных."
CLOB,"Символьный крупный объект, используемый для хранения больших текстовых данных."
Хеш-индекс,"Тип индекса, использующий хеширование для быстрого поиска записей."
Гистограммы (Histogram),"Статистический инструмент, используемый оптимизатором запросов для анализа данных."
Буферный пул,"Область оперативной памяти, используемая для кеширования данных базы данных."
Query Cache,Механизм кеширования результатов SQL-запросов для ускорения работы базы данных.
Оптимизация запросов,Процесс улучшения производительности SQL-запросов путем их анализа и модификации.
Anomaly,"Аномалии данных, возникающие из-за несоответствия нормализационным правилам."
Фрагментация данных,"Разделение данных на мелкие части, что может снизить производительность запросов."
Кластеризация данных,Группировка схожих данных для повышения производительности работы с базой данных.
JSON Path,Функционал для работы с JSON-данными в PostgreSQL.
Foreign Data Wrapper (FDW),Механизм в PostgreSQL для доступа к внешним базам данных.
Миграция базы данных,Процесс переноса структуры и данных базы данных с одной системы на другую.
Шардирование,Метод распределения данных между несколькими серверами для масштабирования базы данных.
Зеркалирование (Mirroring),Технология создания резервной копии базы данных в режиме реального времени.
Бэкап базы данных,Процесс создания резервной копии базы данных для защиты от потери данных.
Восстановление базы данных,Процесс возврата базы данных к предыдущему состоянию после сбоя.
Multiversion Concurrency Control (MVCC),Механизм в PostgreSQL для управления конкурентным доступом к данным.
Autovacuum,"Функция PostgreSQL, автоматически выполняющая очистку и оптимизацию базы данных."
Log Shipping,"Метод репликации, основанный на передаче журналов транзакций."
Connection Timeout,Время ожидания подключения к базе данных перед его завершением.
Tablespace Quota,"Ограничение на объем дискового пространства, выделенного под базы данных."
Reindex,Команда PostgreSQL для пересоздания индексов и повышения их эффективности.
Функция агрегирования,"Функция SQL, выполняющая вычисления на множестве значений (SUM, AVG, COUNT)."
Функция окна (Window Function),"Функция SQL, выполняющая вычисления на основе набора строк."
Разделяемая блокировка,"Тип блокировки базы данных, позволяющий нескольким процессам читать данные."
Эксклюзивная блокировка,"Тип блокировки базы данных, запрещающий доступ другим процессам."
Курсорная блокировка,"Блокировка, применяемая к строкам, обрабатываемым курсором."
Materialized Query Table (MQT),Аналог материализованного представления в других СУБД.
Implicit Join,Автоматическое объединение таблиц без явного указания оператора JOIN.
Parallel Query Execution,Параллельное выполнение SQL-запросов для ускорения обработки.
Query Planner,"Компонент базы данных, определяющий оптимальный способ выполнения SQL-запросов."
Блокировка строк,Механизм предотвращения конфликтов при изменении строк таблицы.
Dead Tuple,"Неиспользуемая строка в PostgreSQL, которая требует очистки."
Database Collation,Настройки сортировки и сравнения строк в базе данных.
BigInt,Тип данных для хранения больших целых чисел.
Time Series Database,"База данных, оптимизированная для хранения временных рядов (например, Prometheus, TimescaleDB)."
Домены данных,"Ограниченный набор значений, допустимых для определенного атрибута."
Кардинальность,Число допустимых связей между записями двух таблиц.
Область видимости,"Границы, в которых переменная, объект или функция доступны в SQL."
Декомпозиция,Разделение одной таблицы на несколько для устранения избыточности данных.
Агрегирование,Объединение данных из разных записей для получения сводной информации.
Каскадное удаление,Автоматическое удаление связанных записей при удалении родительской записи.
Каскадное обновление,Автоматическое обновление значений внешнего ключа при изменении родительской записи.
Дедупликация,Процесс удаления дублирующихся данных из таблицы.
Хэш-индекс,"Индекс, использующий хеш-функции для быстрого поиска данных."
B-дерево,"Структура индекса, обеспечивающая эффективный поиск данных в БД."
Фрагментация,Разделение данных на логические сегменты для оптимизации работы БД.
Запрос (Query),"Инструкция SQL для получения, обновления или удаления данных."
Оптимизация запроса,Процесс улучшения производительности SQL-запросов.
Кеширование запросов,Хранение результатов часто выполняемых запросов для ускорения работы БД.
Подзапрос (Subquery),"Запрос, выполняемый внутри другого SQL-запроса."
Коррелированный подзапрос,"Подзапрос, использующий данные из основного запроса."
Функциональный индекс,"Индекс, создаваемый на основе вычислений или функций в SQL."
Расширенный поиск,"Поиск данных с использованием фильтров, регулярных выражений и операторов."
Текстовый поиск (Full-Text Search),Метод поиска данных в текстовых полях с учетом релевантности.
Фильтрация данных,Отбор записей из таблицы по заданным условиям.
Разрешение конфликтов,Методы предотвращения и устранения конфликтов данных в БД.
Изоляция транзакций,Уровень контроля параллельных транзакций для предотвращения ошибок.
Фантомные чтения,"Ошибка при одновременной работе с данными, когда новая запись изменяет результаты запроса."
Грязное чтение,"Чтение данных, которые еще не были зафиксированы в БД."
Двойная запись,"Проблема, возникающая при дублировании данных в БД."
Псевдоним (Alias),Временное имя для таблицы или столбца в SQL-запросе.
Проекция данных,Выборка конкретных столбцов из таблицы без дублирования.
Модификация схемы,"Изменение структуры базы данных (добавление, удаление, изменение столбцов)."
Временная таблица,"Таблица, создаваемая для временного хранения данных в рамках сеанса."
Логическая репликация,Механизм копирования изменений данных между базами без физического дублирования.
Физическая репликация,Процесс синхронизации баз данных на уровне файлов.
Журнал транзакций,"Файл, содержащий историю изменений, выполненных в базе данных."
Блокировка строк,Механизм предотвращения одновременного изменения одной и той же записи.
Блокировка таблицы,Полная блокировка таблицы для предотвращения изменений другими транзакциями.
Режим строгой изоляции,Полный запрет на параллельные изменения данных в БД.
Снимок (Snapshot),Сохраненная копия данных на определенный момент времени.
Миграция данных,Процесс переноса данных из одной системы в другую.
Системный каталог,Хранилище метаданных о структуре и объектах базы данных.
Обслуживание базы данных,"Процедуры, включающие очистку, индексацию и оптимизацию работы БД."
Секционирование по диапазону,"Разделение данных на основе значений диапазонов (например, по дате)."
Идентификатор (ID),"Уникальное значение, назначаемое каждой записи в таблице."
Разрешения доступа,"Набор правил, определяющих, кто и что может делать в базе данных."
CTE (Common Table Expression),"Временная именованная таблица, определяемая в SQL-запросе."
Оконные функции (Window Function),"Функции, вычисляющие значения по окну строк (ROW_NUMBER, RANK, LEAD, LAG)."
Материализованное представление,"Представление, хранящее результаты запроса для ускорения работы БД."
EXPLAIN,"Команда SQL, показывающая план выполнения запроса для оптимизации производительности."
ANALYZE,"Команда PostgreSQL, обновляющая статистику о данных для оптимизации запросов."
VACUUM,Команда PostgreSQL для очистки и реорганизации базы данных.
REINDEX,"Команда для пересоздания индексов в PostgreSQL, улучшая производительность."
TOAST,Механизм PostgreSQL для хранения больших данных вне основной таблицы.
Расширение (Extension),"Дополнительный модуль, расширяющий функциональность PostgreSQL (например, PostGIS)."
Логирование (Logging),Процесс записи информации о выполнении SQL-команд в журнал БД.
PIVOT,"Операция SQL, превращающая строки в столбцы для аналитических запросов."
Нормализация (Normalization),Процесс организации данных для устранения избыточности и повышения целостности.
Денормализация (Denormalization),Преднамеренное объединение данных для ускорения выполнения запросов.
Шардирование (Sharding),Разделение данных на независимые части для распределенной обработки.
Репликация (Replication),Создание копий данных на нескольких серверах для повышения отказоустойчивости.
Бэкап (Backup),Создание резервной копии базы данных для защиты от потери данных.
Восстановление (Restore),Процесс возврата данных из резервной копии после сбоя.
Пользователь (User),"Идентификатор, имеющий права доступа к базе данных."
Роль (Role),"Группа прав доступа, назначаемая пользователям."
Привилегия (Privilege),"Конкретное право, предоставляемое пользователю или роли для выполнения операций в БД."
База данных (БД),"Организованный набор данных, хранящийся в структурированной форме."
Система управления базами данных (СУБД),ПО для управления базой данных.
Таблица,Основная структура хранения данных в реляционной базе данных.
Запись (Строка),Единичная запись в таблице базы данных.
Поле (Столбец),Отдельный элемент данных в таблице.
"Первичный ключ (Primary Key, PK)",Уникальный идентификатор записи в таблице.
"Внешний ключ (Foreign Key, FK)","Поле, указывающее на первичный ключ другой таблицы."
Индекс,"Структура, ускоряющая поиск данных в таблице."
Нормализация,Процесс организации данных для уменьшения избыточности.
Денормализация,Процесс объединения данных для ускорения запросов.
Схема базы данных,Логическая структура базы данных.
SQL (Structured Query Language),Язык запросов для работы с реляционными базами данных.
Запрос,Инструкция для получения или изменения данных в базе.
SELECT,Оператор SQL для выборки данных.
INSERT,Оператор SQL для добавления данных.
UPDATE,Оператор SQL для обновления данных.
DELETE,Оператор SQL для удаления данных.
JOIN,Операция объединения данных из нескольких таблиц.
INNER JOIN,"Соединение, возвращающее только совпадающие записи."
LEFT JOIN,"Соединение, включающее все записи из левой таблицы и соответствующие из правой."
RIGHT JOIN,"Соединение, включающее все записи из правой таблицы и соответствующие из левой."
FULL JOIN,"Соединение, включающее все записи из обеих таблиц."
Транзакция,"Группа операций, выполняемых как единое целое."
ACID,"Свойства транзакций: атомарность, согласованность, изоляция, долговечность."
COMMIT,Фиксация изменений в базе данных.
ROLLBACK,Отмена изменений в базе данных.
CASCADE DELETE,Удаление связанных данных при удалении записи.
Представление (VIEW),"Виртуальная таблица, основанная на запросе."
Хранимая процедура (Stored Procedure),"Сохраненный SQL-код, выполняемый в базе данных."
Триггер,Автоматическое выполнение кода при изменении данных в таблице.
Ограничение (Constraint),"Ограничение, обеспечивающее целостность данных."
UNIQUE,"Ограничение, запрещающее повторяющиеся значения."
CHECK,Ограничение для проверки условий в таблице.
DEFAULT,Значение по умолчанию для поля.
AUTO_INCREMENT,Автоматическое увеличение значения поля.
Репликация,Копирование данных между серверами базы данных.
Шардинг,Разделение базы данных на части для увеличения производительности.
Кэширование,Временное хранение данных для ускорения доступа.
Иерархическая модель данных,Организация данных в виде дерева.
Сетевая модель данных,Модель данных с произвольными связями.
Реляционная модель данных,"Модель, основанная на таблицах и отношениях."
NoSQL,"Системы баз данных, не использующие реляционную модель."
MongoDB,"Популярная NoSQL база данных, использующая документы."
Redis,"База данных, хранящая данные в оперативной памяти."
Big Data,Обработка и хранение больших объемов данных.
OLAP (Online Analytical Processing),Технология для многомерного анализа данных.
"ETL (Extract, Transform, Load)","Процесс извлечения, трансформации и загрузки данных."
Бэкап (Backup),Резервное копирование базы данных.
Восстановление (Restore),Процесс восстановления данных из резервной копии.
Лог транзакций,"Журнал, фиксирующий все изменения в базе данных."
SHOW DATABASES,"SQL-команда, которая отвечает за просмотр доступных баз данных."
CREATE DATABASE,Команда для создания новой базы данных.
USE,"С помощью этой SQL-команды USE <database_name> выбирается база данных, необходимая для дальнейшей работы с ней."
SOURCE,"А SOURCE <file.sql> позволит выполнить сразу несколько SQL-команд, содержащихся в файле с расширением .sql."
DROP DATABASE,Стандартная SQL-команда для удаления целой базы данных.
SHOW TABLES,"С помощью этой несложной команды можно увидеть все таблицы, которые доступны в базе данных."
CREATE TABLE,SQL-команда для создания новой таблицы:
DESCRIBE,"С помощью DESCRIBE <table_name> можно просмотреть различные сведения (тип значений, является ключом или нет) о столбцах таблицы."
INSERT,Команда INSERT INTO <table_name> в SQL отвечает за добавление данных в таблицу:
UPDATE,SQL-команда для обновления данных таблицы:
DELETE,SQL-команда DELETE FROM <table_name> используется для удаления данных из таблицы.
DROP TABLE,А так можно удалить всю таблицу целиком.
SELECT,"Далее мы рассмотрим основные команды SQL, которые позволяют работать непосредственно с данными. К одной из таких SQL-команд относится SELECT для получения данных из выбранной таблицы:"
SELECT DISTINCT,В столбцах таблицы могут содержаться повторяющиеся данные. Используйте SELECT DISTINCT для получения только неповторяющихся данных.
WHERE,Можно использовать ключевое слово WHERE в SELECT для указания условий в запросе:
GROUP BY,"Оператор GROUP BY часто используется с агрегатными функциями, такими как COUNT, MAX, MIN, SUM и AVG, для группировки выходных значений."
HAVING,"Ключевое слово HAVING было добавлено в SQL по той причине, что WHERE не может использоваться для работы с агрегатными функциями."
ORDER BY,"ORDER BY используется для сортировки результатов запроса по убыванию или возрастанию. ORDER BY отсортирует по возрастанию, если не будет указан способ сортировки ASC или DESC."
BETWEEN,"BETWEEN используется для выбора значений данных из определённого промежутка. Могут быть использованы числовые и текстовые значения, а также даты."
LIKE,"Оператор LIKE используется в WHERE, чтобы задать шаблон поиска похожего значения. Есть два свободных оператора, которые используются в LIKE:

% (ни одного, один или несколько символов);
_ (один символ)."
IN,С помощью IN можно указать несколько значений для оператора WHERE:
JOIN,JOIN используется для связи двух или более таблиц с помощью общих атрибутов внутри них. На изображении ниже показаны различные способы объединения в SQL. Обратите внимание на разницу между левым внешним объединением и правым внешним объединением:
VIEW,"VIEW — это виртуальная таблица SQL, созданная в результате выполнения выражения. Она содержит строки и столбцы и очень похожа на обычную SQL-таблицу. VIEW всегда показывает самую свежую информацию из базы данных."
Агрегатные функции,"Это не совсем основные команды SQL, однако знать их тоже желательно. Агрегатные функции используются для получения совокупного результата, относящегося к рассматриваемым данным:"
COUNT(col_name),возвращает количество строк;
SUM(col_name),возвращает сумму значений в данном столбце;
AVG(col_name),возвращает среднее значение данного столбца;
MIN(col_name),возвращает наименьшее значение данного столбца;
MAX(col_name),возвращает наибольшее значение данного столбца.
Вложенные подзапросы,"Вложенные подзапросы — это SQL-запросы, которые включают выражения SELECT, FROM и WHERE, вложенные в другой запрос."
IS NULL,"Нужен для выбора строк, в которых отсутствует значение столбца (является NULL)."
LIMIT,"Определяет количество строк, которые нужно вернуть. Если оно равно нулю, запрос возвращает пустой набор результатов."
OFFSET,"Указывает, сколько строк нужно пропустить перед возвратом результата. Если не определять OFFSET, запрос возвращает данные, начиная с первой строки, указанной в SELECT."
CREATE INDEX,Присвоение индекса одному или нескольким столбцам ускоряет поиск данных. 
ON,"Оператор ON указывает на то, что индекс будет создан на столбце last_name таблицы last_name."
CREATE VIEW,"создание представления.Представление (view) — это виртуальная таблица, основанная на результате запроса. Представления не хранят данные самостоятельно, они определяются SQL-запросами, которые извлекают данные из одной или нескольких таблиц."
CREATE SCHEMA ,"создание схемы.Схема — это контейнер для хранения объектов БД, таких как таблицы, представления и индексы, которые могут быть организованы и управляться вместе."
CREATE TRIGGER,"создание триггера.Триггер — это набор инструкций SQL, который автоматически выполняется при наступлении определенного события в БД, такого как вставка, обновление или удаление записи из таблицы SQL."
BEFORE (или AFTER),указание времени срабатывания триггера (до или после выполнения операции);
ON table_name,"указание таблицы, к которой привязан триггер;"
FOR EACH ROW,"условие, будет ли триггер выполняться для каждой строки (FOR EACH ROW) или для каждого оператора (FOR EACH STATEMENT). Эта часть синтаксиса может отсутствовать в некоторых СУБД."
CREATE PROCEDURE,"Процедура представляет собой набор инструкций SQL, которые выполняют определенную задачу или набор задач в БД. Она может принимать параметры, обрабатывать данные и возвращать результаты."
DROP,Используется для удаления объектов.
"BEGIN, END","Оператор BEGIN обозначает начало транзакции (совокупности операций), а END — ее завершение."
TRUNCATE ,"Нужен для удаления всех записей из таблицы, при этом сохранив структуру таблицы."
RENAME ,Оператор для переименования объектов БД.
TO,Оператор TO указывает на новое значение (новое имя или местоположение).
COMMENT,Используется для добавления комментариев к объектам БД.
GRANT,Предоставляет пользователю или роли определенные привилегии на объект БД.
Атрибут,элемент данных в кортеже.
База Данных (БД),"структурированный организованный набор данных, описывающих характеристики каких-либо физических или виртуальных систем."
Внешний ключ (foreign key),"поле таблицы, предназначенное для хранения значения первичного ключа другой таблицы с целью организации связи между этими таблицами."
Домен,набор допустимых значений одного или нескольких атрибутов.
Индекс,"объект базы данных, создаваемый с целью повышения производительности выполнения запросов."
Концептуальное проектирование ,"сбор, анализ и редактирование требований к данным."
Логическое проектирование,преобразование требований к данным в структуры данных
Модель данных,"интегрированный набор понятий для описания данных, связей между ними и ограничений, накладываемых на данные в некоторой организации."
Нормальная форма,"требование, предъявляемое к отношениям в теории реляционных баз данных для устранения из базы избыточности, которая потенциально может привести к логически ошибочным результатам выборки или изменения данных."
Отношение,"N-арным отношением R, или отношением R степени n, называют подмножество декартового произведения множеств D_1, D_2, ..., D_n (n\ge 1), не обязательно различных. Исходные множества D1,D2,...,Dn называют в модели доменами (в СУБД используется понятие тип данных)."
Первичный ключ (primary key),"минимальное множество атрибутов, являющееся подмножеством заголовка данного отношения, составное значение которых уникально определяет кортеж отношения."
Поле,некая характеристика моделируемого объекта.
Представления,"виртуальная (логическая) таблица, результат запроса из базы данных."
Реляционная алгебра,формальная система манипулирования отношениями в реляционной модели данных.
Реляционная модель данных,"логическая модель данных, строгая математическая теория, описывающая структурный аспект, аспект целостности и аспект обработки данных в реляционных базах данных."
Система управления базами данных (СУБД),"программное обеспечение, управляющее доступом к БД."
Системный каталог (словарь данных),"совокупное описание данных, называемых метаданными (совокупность метаданных (данные о данных))."
СУБД,"программное обеспечение, с помощью которого пользователи могут определять, создавать и поддерживать базу данных, а также осуществлять к ней контролируемый доступ."
Таблица,"структура данных, хранящая набор однотипных записей."
Транзакция,"в информатике, группа последовательных операций, которая представляет собой логическую единицу работы с данными."
Физическое проектирование,"определение особенностей хранения данных, методов доступа и т.д."
Целостность базы данных,"соответствие имеющейся в базе данных информации её внутренней логике, структуре и всем явно заданным правилам."
ER-модель,"модель предметной области, отражающая объекты и связи между ними (синонимы: модель «сущность-связь», модель «объект-свойство-связь», концептуальная модель)"
SQL-сервер,"собирательный термин, относящийся ко всем серверам баз данных, основанных на SQL"
Администратор банка данных (АБД),"группа специалистов, обеспечивающих создание, функционирование и развитие БнД"
База данных,"поименованная совокупность взаимосвязанных данных, находящихся под управлением СУБД"
База данных иерархическая,"структурированная БД, реализующая иерархическую модель данных"
База данных распределенная (DDB - Distributed DataBase),"совокупность множества взаимосвязанных баз данных, распределенных в компьютерной сети"
База данных реляционная,"структурированная БД, реализующая реляционную модель данных"
База данных сетевая,"структурированная БД, реализующая сетевую модель данных"
База данных структурированная,"БД, требующая предварительного проектирования и описания структуры БД"
Банк данных,"система специальным образом организованных данных (баз данных), программных, технических, языковых, организационно-методических средств, предназначенных для обеспечения централизованного накопления и коллективного многоцелевого использования данных"
Ключ,"атрибут или совокупность атрибутов, однозначно идентифицирующих кортеж"
Область предметная,"часть реального мира, представляющая интерес для данного исследования"
Ограничения целостности ,"набор специальных предложений, обеспечивающих целостность данных; утверждения о допустимых значениях отдельных информационных единиц и связях между ними"
Организационно-методические средства банка данных,"инструкции, методические и регламентирующие материалы, предназначенные для пользователей разных категорий, взаимодействующих с банком данных"
Запрос,"это некоторая команда, написанная в специальном формате (на языке SQL, если быть точней), которая обрабатывается системой, и на выходе мы получаем результат."
Кортеж,множество пар Атрибут – Значение атрибута. При этом в кортеж должно входить по одному атрибуту данной сущности.
Сущность,некоторое комплексное описание одного объекта.
Составной ключ,"ключ, который использует несколько атрибутов."
Суррогатный ключ,"ключ, значение которого генерируется СУБД."
Атомарность,"неделимость атрибутов. Например, ФИО не является атомарным столбцом."
Транзитивная зависимость,"логическая или смысловая зависимость одного атрибута от другого при условии, что ни один из атрибутов не является первичным ключом. Классический пример: город и индекс."
Функциональная зависимость,"зависимость значений одного столбца от другого, но никак не наоборот."
Избыточность,"лишняя информация в базе данных, которая не несет никакой пользы для нас, а лишь увеличивает объем базы данных."
Аномалия,"проблемы, которые возникают при манипуляции с данными (обновление данных, удаление данных, модификация или изменение данных), из-за избыточности."
Нормализация,"процесс преобразования отношений базы данных к виду, отвечающему нормальным формам. Нормализация предназначена для приведения структуры БД к виду, обеспечивающему минимальную логическую избыточность, и не имеет целью уменьшение или увеличение производительности работы или же уменьшение или увеличение физического объёма базы данных."
Денормализация,процесс обратный нормализации. Часто применяется для ускорения процесса чтения данных из базы данных.
Бизнес-правила,"формальные правила, которые учитываются при проектировании базы данных. Другими словами: это процесс или набор процессов, которые нам необходимо описать и автоматизировать при помощи базы данных."
Предметная область,"часть реального мира, которая описывается или автоматизируется при создании базы данных. Например: склад, магазин, библиотека, автозаправка."
"Field (Attribute, Table Column)",an individual characteristic (property) of an entity.
Domain,a set of possible values for one or more attributes.
Table,"a collection of records with a fixed number of fields, containing data about all instances of an entity."
Key,a field or a combination of fields that uniquely identifies a record in a table.
Primary Key ,a field that uniquely identifies a record in a table and is used to establish relationships with other tables. The values must be unique within the table.
